Subject,Category
Japan Table TOMORROW - 1 Update,u
FS: SUMMER ROAD TRIP - 1 Update,i
[HIIT tonight] - 1 Update,o
TODAY 5PM! South Asian Theories of Emotion with WASAC + 🧠Psychology Club 🧠 SNACKS PROVIDED - 1 Update,i
#ERROR!,x
Free Flu Clinics/ Wellness Workshops & more - 1 Update,r
RIOT TV ACTORS - 2 Updates,i
Nutrition Workshop Tomorrow! - 1 Update,r
Edible Ecosystem Teaching Garden Workday Tomorrow 9/26 1-4pm - 1 Update,w
"[CANCELLED]: First K-TABLE of the semester this Thursday, 9/26!! - 1 Update",i
TOMORROW @ 5PM!! 🧠Psychology Club 🧠 Interdisciplinary Tea: SOUTH ASIAN THEORIES OF EMOTION - 1 Update,i
SPIN 6-7!!!! - 1 Update,o
SPIN @ 4:30 - 1 Update,o
National Food Service Workers Appreciation Cards - 1 Update,w
[PSMC] POLISCI DONUT SOCIAL - 1 Update,i
WHACK is BACK! - 1 Update,i
"TOMORROW 9/26 @4:30- Jean Kilbourne '64, Killing Us Softly: Advertising's Image of Women - 1 Update",w
Submissions Open for Chrysalis Zine ! - 1 Update,i
Vote in WC Dems Fall E-Board Elections! - 1 Update,p
STARTING TODAY Citi Ventures x WWIB Case Challenge - 1 Update,i
[The Wellesley Review] 2 more days to SUBMIT! - 1 Update,i
[slatermail] [Slater] Want 2 PE credits? Perform at Slater Culture Show!” - 1 Update,i
WCTV EARRING SALE - 1 Update,i
Join CCAC E-board if you are interested in Chinese Classical Art! - 1 Update,i
🏾AMNESTY INT'L MEETING TODAY @4:30PM - 1 Update,i
Stolen Mac iPad charger - 1 Update,t
[OFTW] One for the World Info Session - 1 Update,e
[InterVarsity] Apple Picking This Saturday - 1 Update,i
[UPSTAGE] Newsletter 9/26 - 1 Update,a
[TCO] 1 MORE DAY TO APPLY AND JOIN OUR EBOARD! - 1 Update,u
Study Abroad Advising Hours TODAY! - 1 Update,r
KSA Elections Results - 1 Update,u
SPIN 6-7!!! - 1 Update,o
[CORC] Interested in Community Organizing on Campus? - 1 Update,g
STEM Scholarships! - 1 Update,i
Facebook - Preparing for Medical School Webinar - 1 Update,i
Lost Wallet and Headphones - 1 Update,t
[WADO] ICY! BLood SwEaT & TeArs~ HKT48??? - 1 Update,a
Volunteer at the Global Community Bio Summit! - 1 Update,e
FLU CLINIC DATES & LOCATIONS - 1 Update,r
NEED A JOB? LOOKING FOR SOME EXTRA $$$ ?? - 1 Update,j
SPIN: 4:30 CANCELLED - 1 Update,o
10/03 - WCW and Computer Science - Designing an app for healthy social media use - 1 Update,w
[UPSTAGE] Big/Little Bonding! - 1 Update,a
!!! Shabbat 101 This Friday - 1 Update,u
We need you!! - 1 Update,x
[[HABITAT FOR HUMANITY]] SIGN UP FOR RESTORE TRIP ON OCT 5TH - 1 Update,e
[Slater] Volunteer for the Slater Culture Show!! - 1 Update,a
TODAY: Edible Ecosystem Teaching Garden Workday 1-4pm - 1 Update,w
